gross_unadjusted,team_name,season
83800000,Crystal Palace,2020-2021
72600000,Leicester,2020-2021
62800000,West Ham,2020-2021
58200000,Aston Villa,2020-2021
57900000,Newcastle,2020-2021
59400000,Southampton,2020-2021
49100000,Fulham,2020-2021
53500000,Wolverhampton,2020-2021
47300000,Brighton,2020-2021
29000000,West Bromwich,2020-2021
32800000,Burnley,2020-2021
31500000,Leeds,2020-2021
18200000,Sheffield United,2020-2021
214100000,Manchester United,2021-2022
187600000,Chelsea,2021-2022
166100000,Manchester City,2021-2022
150300000,Liverpool,2021-2022
89400000,Arsenal,2021-2022
87400000,Tottenham,2021-2022
106000000,Everton,2021-2022
73100000,Aston Villa,2021-2022
80500000,Leicester,2021-2022
76100000,West Ham,2021-2022
71700000,Newcastle,2021-2022
71900000,Crystal Palace,2021-2022
57100000,Wolverhampton,2021-2022
58200000,Southampton,2021-2022
43600000,Brighton,2021-2022
39100000,Watford,2021-2022
38200000,Burnley,2021-2022
37300000,Leeds,2021-2022
30500000,Norwich,2021-2022
25700000,Brentford,2021-2022
281400000,Manchester United,2022-2023
260500000,Chelsea,2022-2023
244000000,Manchester City,2022-2023
198600000,Liverpool,2022-2023
153400000,Arsenal,2022-2023
133500000,Tottenham,2022-2023
117100000,Aston Villa,2022-2023
103200000,Newcastle,2022-2023
101100000,West Ham,2022-2023
100300000,Everton,2022-2023
96900000,Leicester,2022-2023
89800000,Nottingham Forest,2022-2023
81300000,Crystal Palace,2022-2023
76700000,Wolverhampton,2022-2023
69400000,Fulham,2022-2023
74800000,Southampton,2022-2023
72000000,Leeds,2022-2023
59600000,Bournemouth,2022-2023
53300000,Brighton,2022-2023
46700000,Brentford,2022-2023
235900000,Manchester United,2023-2024
257600000,Manchester City,2023-2024
205500000,Arsenal,2023-2024
185000000,Chelsea,2023-2024
171900000,Liverpool,2023-2024
154500000,Tottenham,2023-2024
135400000,Aston Villa,2023-2024
113900000,West Ham,2023-2024
104300000,Newcastle,2023-2024
96500000,Everton,2023-2024
86300000,Nottingham Forest,2023-2024
89300000,Crystal Palace,2023-2024
80300000,Fulham,2023-2024
78700000,Brighton,2023-2024
67300000,Bournemouth,2023-2024
71600000,Wolverhampton,2023-2024
55600000,Brentford,2023-2024
47600000,Burnley,2023-2024
42200000,Sheffield United,2023-2024
