,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str[Arsenal],0.503,0.392,-0.253,1.21,0.006,0.005,3962.0,3123.0,1.0
att_str[Aston Villa],-1.072,0.661,-2.372,0.097,0.01,0.008,4829.0,3276.0,1.0
att_str[Bournemouth],0.357,0.462,-0.494,1.226,0.007,0.006,4232.0,2974.0,1.0
att_str[Brentford],0.162,0.471,-0.715,1.05,0.008,0.006,3835.0,2895.0,1.0
att_str[Brighton],0.026,0.488,-0.875,0.951,0.007,0.008,4465.0,3009.0,1.0
att_str[Burnley],0.23,0.501,-0.67,1.186,0.007,0.007,4593.0,3657.0,1.0
att_str[Chelsea],0.539,0.413,-0.261,1.287,0.007,0.005,3672.0,3222.0,1.0
att_str[Crystal Palace],-0.042,0.49,-0.899,0.93,0.008,0.007,4208.0,3277.0,1.0
att_str[Everton],-0.157,0.439,-0.97,0.658,0.007,0.006,4019.0,3143.0,1.0
att_str[Fulham],-0.382,0.5,-1.294,0.552,0.007,0.007,4677.0,3070.0,1.0
att_str[Leeds],-0.636,0.616,-1.779,0.515,0.009,0.008,5070.0,2708.0,1.0
att_str[Liverpool],0.81,0.466,-0.047,1.683,0.007,0.005,4356.0,3095.0,1.0
att_str[Man City],0.385,0.414,-0.335,1.229,0.006,0.005,4110.0,3144.0,1.0
att_str[Man United],0.078,0.496,-0.952,0.919,0.008,0.007,4067.0,3022.0,1.0
att_str[Newcastle],-0.709,0.563,-1.786,0.297,0.009,0.008,4499.0,2690.0,1.0
att_str[Nottm Forest],-0.209,0.5,-1.166,0.71,0.008,0.007,3945.0,3091.0,1.0
att_str[Sunderland],-0.139,0.469,-1.069,0.709,0.007,0.006,4115.0,3138.0,1.0
att_str[Tottenham],0.352,0.439,-0.513,1.116,0.007,0.005,4042.0,3182.0,1.0
att_str[West Ham],0.222,0.502,-0.831,1.063,0.008,0.006,4319.0,3142.0,1.0
att_str[Wolves],-0.32,0.55,-1.35,0.712,0.008,0.008,4398.0,3112.0,1.0
def_str[Arsenal],-0.909,0.597,-2.044,0.181,0.009,0.007,4840.0,2955.0,1.0
def_str[Aston Villa],0.143,0.493,-0.744,1.087,0.007,0.006,4530.0,3288.0,1.0
def_str[Bournemouth],-0.043,0.48,-0.921,0.863,0.007,0.007,4685.0,3292.0,1.0
def_str[Brentford],0.553,0.453,-0.292,1.435,0.007,0.005,3760.0,2692.0,1.0
def_str[Brighton],0.253,0.441,-0.629,1.038,0.007,0.006,3976.0,3213.0,1.0
def_str[Burnley],0.255,0.43,-0.546,1.031,0.007,0.005,3533.0,3144.0,1.0
def_str[Chelsea],-0.247,0.531,-1.27,0.702,0.008,0.007,4256.0,3018.0,1.0
def_str[Crystal Palace],-0.737,0.602,-1.853,0.417,0.009,0.007,4475.0,3463.0,1.0
def_str[Everton],0.077,0.544,-0.921,1.105,0.008,0.008,4628.0,3000.0,1.0
def_str[Fulham],-0.089,0.476,-0.979,0.781,0.008,0.008,4095.0,2983.0,1.0
def_str[Leeds],0.391,0.438,-0.459,1.21,0.007,0.005,3968.0,2899.0,1.0
def_str[Liverpool],-0.333,0.551,-1.372,0.668,0.008,0.008,4725.0,3021.0,1.0
def_str[Man City],-0.035,0.48,-0.951,0.858,0.007,0.007,4156.0,3078.0,1.0
def_str[Man United],0.314,0.417,-0.48,1.064,0.006,0.005,4698.0,3626.0,1.0
def_str[Newcastle],-0.451,0.652,-1.694,0.737,0.01,0.009,4845.0,2919.0,1.0
def_str[Nottm Forest],0.422,0.406,-0.334,1.199,0.007,0.005,3844.0,2824.0,1.0
def_str[Sunderland],-0.331,0.513,-1.262,0.628,0.008,0.007,4524.0,2562.0,1.0
def_str[Tottenham],-0.858,0.584,-1.95,0.23,0.009,0.008,4065.0,2897.0,1.0
def_str[West Ham],0.773,0.412,-0.029,1.529,0.007,0.005,3749.0,2725.0,1.0
def_str[Wolves],0.851,0.418,0.027,1.593,0.007,0.005,3934.0,3104.0,1.0
