,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str[Swansea],0.166,0.142,-0.101,0.432,0.002,0.002,6658.0,2993.0,1.0
att_str[Watford],0.023,0.154,-0.294,0.29,0.002,0.003,5781.0,2819.0,1.0
att_str[West Brom],0.115,0.148,-0.166,0.39,0.002,0.002,5905.0,2636.0,1.0
att_str[Wigan Athletic],-0.304,0.176,-0.652,0.013,0.003,0.002,4399.0,2528.0,1.0
def_str[Birmingham],0.078,0.148,-0.213,0.346,0.002,0.002,6564.0,2913.0,1.0
def_str[Blackburn],-0.031,0.153,-0.309,0.259,0.002,0.003,5778.0,2892.0,1.0
def_str[Blackpool],0.265,0.139,0.0,0.521,0.002,0.001,6786.0,2795.0,1.0
def_str[Bristol City],0.009,0.147,-0.261,0.293,0.002,0.003,6294.0,2781.0,1.0
def_str[Burnley],-0.391,0.191,-0.752,-0.039,0.003,0.002,4203.0,2773.0,1.0
def_str[Cardiff City],0.034,0.155,-0.262,0.323,0.002,0.003,6211.0,2987.0,1.0
def_str[Coventry],-0.154,0.159,-0.454,0.137,0.002,0.002,6228.0,2807.0,1.0
def_str[Huddersfield Town],0.072,0.149,-0.204,0.354,0.002,0.002,7012.0,3115.0,1.0
def_str[Hull],0.118,0.142,-0.151,0.38,0.002,0.002,6523.0,2763.0,1.0
def_str[Luton Town],-0.297,0.172,-0.607,0.036,0.002,0.002,5742.0,3317.0,1.0
def_str[Middlesbrough],-0.022,0.149,-0.288,0.268,0.002,0.003,6399.0,3139.0,1.0
def_str[Millwall],-0.052,0.16,-0.361,0.243,0.002,0.003,6640.0,2740.0,1.0
def_str[Norwich],-0.001,0.155,-0.285,0.284,0.002,0.003,6436.0,2916.0,1.0
def_str[Preston],0.075,0.145,-0.191,0.338,0.002,0.002,6406.0,2994.0,1.0
def_str[QPR],0.254,0.137,-0.01,0.502,0.002,0.001,7831.0,2426.0,1.0
def_str[Reading],0.164,0.142,-0.105,0.431,0.002,0.002,7434.0,2615.0,1.0
def_str[Rotherham United],0.138,0.146,-0.151,0.396,0.002,0.002,6178.0,3008.0,1.0
def_str[Sheff Utd],-0.313,0.182,-0.66,0.026,0.003,0.002,4682.0,2651.0,1.0
def_str[Stoke],-0.064,0.155,-0.34,0.244,0.002,0.002,5470.0,2850.0,1.0
def_str[Sunderland],-0.003,0.153,-0.319,0.268,0.002,0.003,5669.0,2970.0,1.0
def_str[Swansea],0.137,0.152,-0.145,0.414,0.002,0.002,5486.0,2533.0,1.0
def_str[Watford],-0.048,0.157,-0.35,0.231,0.002,0.003,5813.0,2835.0,1.0
def_str[West Brom],-0.053,0.159,-0.367,0.233,0.002,0.003,6231.0,2723.0,1.0
def_str[Wigan Athletic],0.085,0.151,-0.207,0.361,0.002,0.002,6767.0,2233.0,1.0
